poslanik1,prati,pracen,pp,pn,np
Aleksandra Jerkov,43.0,47.0,37.0,6.0,10.0
Aleksandra Tomić,26.0,18.0,18.0,8.0,0.0
Boško Obradović,10.0,16.0,8.0,2.0,8.0
Čedomir Jovanović,4.0,22.0,4.0,0.0,18.0
Goran Čabradi,11.0,3.0,3.0,8.0,0.0
Dejan Nikolić,36.0,32.0,30.0,6.0,2.0
Dragana Barišić,12.0,12.0,12.0,0.0,0.0
Dubravka Filipovski,19.0,22.0,19.0,0.0,3.0
Dušica Stojković,5.0,7.0,4.0,1.0,3.0
Dušan Milisavljević,24.0,25.0,22.0,2.0,3.0
Enis Imamović,12.0,12.0,9.0,3.0,3.0
Jasmina Nikolić,16.0,17.0,12.0,4.0,5.0
Vladimir Đukanović,18.0,10.0,9.0,9.0,1.0
Milan Lapčević,1.0,6.0,1.0,0.0,5.0
Maja Gojković,9.0,26.0,5.0,4.0,21.0
Maja Videnović,29.0,31.0,25.0,4.0,6.0
Marijan Rističević,21.0,22.0,15.0,6.0,7.0
Marinika Tepić,16.0,13.0,11.0,5.0,2.0
Milija Miletić,10.0,6.0,4.0,6.0,2.0
Nataša Vučković,11.0,3.0,3.0,8.0,0.0
Nemanja Šarović,22.0,15.0,12.0,10.0,3.0
Katarina Rakić,25.0,22.0,18.0,7.0,4.0
Saša Radulović,18.0,35.0,18.0,0.0,17.0
Sonja Vlahović,9.0,10.0,7.0,2.0,3.0
Srbislav Filipović,26.0,19.0,19.0,7.0,0.0
Aleksandar Stevanović,9.0,14.0,8.0,1.0,6.0
Tatjana Macura,18.0,23.0,15.0,3.0,8.0
Vjerica Radeta,14.0,14.0,12.0,2.0,2.0
Vladimir Đurić,21.0,17.0,14.0,7.0,3.0
Vladimir Orlić,15.0,14.0,13.0,2.0,1.0
Nenad Čanak,3.0,19.0,3.0,0.0,16.0
Ivan Karić,12.0,12.0,10.0,2.0,2.0
Zoran Dragišić,25.0,11.0,10.0,15.0,1.0
Zoran Krasić,32.0,19.0,18.0,14.0,1.0
Zvonimir Đokić,46.0,15.0,14.0,32.0,1.0
Aleksandra Belačić,12.0,12.0,12.0,0.0,0.0
Aleksandar Marković,20.0,16.0,14.0,6.0,2.0
Balša Božović,22.0,25.0,19.0,3.0,6.0
Branislav Mihajlović,12.0,13.0,9.0,3.0,4.0
Ivan Bauer,0.0,0.0,0.0,0.0,0.0
Slaviša Bulatović,5.0,0.0,0.0,5.0,0.0
Dušan Pavlović,17.0,27.0,14.0,3.0,13.0
Đorđe Vukadinović,7.0,23.0,7.0,0.0,16.0
Dragan Šormaz,19.0,21.0,16.0,3.0,5.0
Dragomir Karić,21.0,19.0,12.0,9.0,7.0
Goran Ješić,13.0,24.0,13.0,0.0,11.0
Gordana Čomić,11.0,31.0,10.0,1.0,21.0
Jelena Žarić Kovačević,25.0,14.0,14.0,11.0,0.0
Miodrag Linta,0.0,0.0,0.0,0.0,0.0
Marija Janjušević,17.0,15.0,14.0,3.0,1.0
Vesna Marjanović,9.0,11.0,8.0,1.0,3.0
Muamer Bačevac,6.0,4.0,3.0,3.0,1.0
Žarko Mićin,17.0,17.0,16.0,1.0,1.0
Nataša Mihailović Vacić,20.0,15.0,14.0,6.0,1.0
Milanka Karić,3.0,5.0,2.0,1.0,3.0
Miloš Bošković,7.0,11.0,7.0,0.0,4.0
Nenad Božić,13.0,10.0,9.0,4.0,1.0
Ognjen Pantović,5.0,3.0,1.0,4.0,2.0
Balint Pastor,9.0,20.0,8.0,1.0,12.0
Vojislav Šešelj,6.0,13.0,6.0,0.0,7.0
Miljan Damjanović,8.0,9.0,6.0,2.0,3.0
Sanda Rašković Ivić,33.0,33.0,30.0,3.0,3.0
Ana Stevanović,21.0,18.0,17.0,4.0,1.0
Bojan Torbica,8.0,2.0,1.0,7.0,1.0
Vladimir Marinković,25.0,22.0,20.0,5.0,2.0
Dijana Vukomanović,16.0,26.0,13.0,3.0,13.0
Tomislav Žigmanov,0.0,0.0,0.0,0.0,0.0
Zoran Živković,13.0,31.0,13.0,0.0,18.0
